,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
111,5600000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",10664.0,tt1245112,[REC]²,2009-09-15,18469680.0,6.6,1610.0
112,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",51170.0,tt1646926,Open Season 3,2010-10-21,0.0,5.7,468.0
113,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",38357.0,tt1126618,Morning Glory,2010-11-10,60040976.0,6.3,1257.0
114,7300000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",25941.0,tt1289406,Harry Brown,2009-11-11,10329747.0,6.8,785.0
115,85000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",39691.0,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,2010-07-28,112483764.0,5.2,520.0
116,25000000.0,"[{'id': 18, 'name': 'Drama'}]",45317.0,tt0964517,The Fighter,2010-12-10,93617009.0,7.4,3634.0
117,1000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",27.0,tt0411705,9 Songs,2004-05-16,1574623.0,5.6,394.0
118,100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",37710.0,tt1243957,The Tourist,2010-12-08,278731369.0,6.2,4732.0
119,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",40080.0,tt1600058,The Cutting Edge: Fire & Ice,2010-03-14,0.0,6.4,129.0
120,1900000.0,"[{'id': 878, 'name': 'Science Fiction'}]",830.0,tt0049223,Forbidden Planet,1956-03-23,3250000.0,7.3,688.0
