,genre_ids,original_language,popularity,title,vote_average,vote_count
17916,['Documentary'],en,6.252,For the Love of Spock,7.6,87
120,['Science Fiction'],en,10.274,Forbidden Planet,7.3,388
23962,"['Romance', 'Drama', 'Music']",en,15.953,Forever My Girl,7.4,406
2869,['Documentary'],en,6.489,Forks Over Knives,7.0,73
188,"['War', 'Drama', 'History', 'Action']",ru,8.769,Fortress of War,7.3,75
138,"['Comedy', 'Crime', 'Drama']",en,9.968,Four Lions,7.0,621
24459,['Drama'],he,6.902,Foxtrot,7.2,75
5327,"['Comedy', 'Drama']",en,9.42,Frances Ha,7.4,624
17717,"['History', 'Drama', 'Romance']",fr,7.992,Frantz,7.5,342
24641,"['Comedy', 'Drama']",en,5.589,Freak Show,7.2,49
6248,"['Music', 'Documentary']",en,1.594,Freddie Mercury: The Great Pretender,7.5,33
8056,"['Drama', 'Romance']",de,9.137,Free Fall,7.7,331
24095,['Documentary'],en,11.474,Free Solo,8.0,355
11658,['Documentary'],en,4.772,Free to Play,7.2,77
14506,"['Romance', 'Drama']",en,7.313,Freeheld,7.3,360
5352,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",en,8.833,Frequency,7.1,791
5674,['Animation'],en,4.762,Fresh Guacamole,7.6,65
2500,"['Horror', 'Action', 'Thriller', 'Crime']",en,16.064,From Dusk Till Dawn,7.0,3015
5276,"['Animation', 'Drama']",ja,11.574,From Up on Poppy Hill,7.6,644
7886,"['Animation', 'Adventure', 'Family']",en,26.183,Frozen,7.3,9767
8033,['Drama'],en,9.587,Fruitvale Station,7.4,645
14196,"['Action', 'Crime', 'Thriller']",en,20.396,Furious 7,7.3,6538
11028,"['War', 'Drama', 'Action']",en,29.117,Fury,7.4,6653
14838,"['Drama', 'Action']",hi,4.326,Gabbar Is Back,7.0,50
582,['Comedy'],en,3.233,Gabriel Iglesias: Hot and Fluffy,7.4,37
18327,['Comedy'],en,2.674,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.5,34
24960,['Comedy'],en,3.56,Gad Elmaleh: American Dream,7.1,54
21285,"['Documentary', 'Music']",en,5.544,Gaga: Five Foot Two,7.7,368
5354,"['TV Movie', 'Drama', 'History']",en,8.826,Game Change,7.0,155
